InchiKey,original_smiles,logS,diff_percent,new_logS,smiles
ABQKHKWXTUVKGF-UHFFFAOYSA-N,['S=C=Nc1ccc(cc1)C'],[-4.72124778],0.0,-4.721247778,S=C=Nc1ccc(cc1)C
ABSDZQDZDHJMPX-UHFFFAOYSA-N,['CCCCOCC(COCCCC)O'],[-1.62634249],0.0,-1.626342493,CCCCOCC(COCCCC)O
ABUKMOCUMIPDHV-UHFFFAOYSA-N,['OC(=O)C(c1ccccc1)Oc1ccccc1'],[-3.00047021],0.0,-3.000470212,OC(=O)C(c1ccccc1)Oc1ccccc1
ABVVEAHYODGCLZ-UHFFFAOYSA-N,['CCCCCCCCCCCCCN'],[-4.16169921],0.0,-4.161699215,CCCCCCCCCCCCCN
ABWLRVJYVVQTGQ-UHFFFAOYSA-N,['NC(=S)N/N=C/c1cccnc1'],[0.10590316],0.0,0.105903163,NC(=S)N/N=C/c1cccnc1
ABZLDANJLQFTLS-UHFFFAOYSA-N,['CCc1cnc(n1CCOC(=O)CCC(=O)O)[N+](=O)[O-]'],[-2.33466087],0.0,-2.334660872,CCc1cnc(n1CCOC(=O)CCC(=O)O)[N+](=O)[O-]
ACAZKHULUUVWCY-UHFFFAOYSA-N,['CCCCCC(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C'],[-3.51684296],0.0,-3.516842956,CCCCCC(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
ACBMYYVZWKYLIP-UHFFFAOYSA-N,['CCCCCC(O)(C)C'],[-1.72],0.0,-1.72,CCCCCC(O)(C)C
ACFHHZJOAUZSJU-UHFFFAOYSA-N,['CC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-]'],[-2.59582676],0.0,-2.595826755,CC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-]
ACFSLNOJYWCHEO-UHFFFAOYSA-N,['OCCN1CCN(CC1)CC(COc1c(ccc(c1C(=O)OC)C)C(C)C)O'],[-3.28430635],0.0,-3.284306346,OCCN1CCN(CC1)CC(COc1c(ccc(c1C(=O)OC)C)C(C)C)O
ACGUYXCXAPNIKK-UHFFFAOYSA-N,['Clc1cc(Cl)c(c(c1O)Cc1c(O)c(Cl)cc(c1Cl)Cl)Cl'],[-3.46334792],0.0,-3.463347924,Clc1cc(Cl)c(c(c1O)Cc1c(O)c(Cl)cc(c1Cl)Cl)Cl
ACIVXVCFXWJISJ-UHFFFAOYSA-N,['CCC(C(=O)NC(=O)N)(CC)Cl'],[-1.80202255],0.0,-1.802022555,CCC(C(=O)NC(=O)N)(CC)Cl
ACJHFLOITZTLEZ-UHFFFAOYSA-N,['CCN(CC(COC(=O)N)(COC(=O)N)CC)CC'],[-0.78091866],0.0,-0.780918661,CCN(CC(COC(=O)N)(COC(=O)N)CC)CC
ACRBVLNVNAEIRT-UHFFFAOYSA-N,['CCCC(COC(=O)N(C)C)(CO)C'],[-2.16508412],0.0,-2.165084125,CCCC(COC(=O)N(C)C)(CO)C
ACSIXWWBWUQEHA-UHFFFAOYSA-N,['ClC(P(=O)(O)O)(P(=O)(O)O)Cl'],[-2.79291516],0.0,-2.792915159,ClC(P(=O)(O)O)(P(=O)(O)O)Cl
ACTIUHUUMQJHFO-UHFFFAOYSA-N,['COC1=C(OC)C(=O)C(=C(C1=O)C/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\\C)\\C)\\C)\\C)\\C)\\C)\\C)\\C)\\C)C'],[-18.21769274],0.0,-18.21769274,COC1=C(OC)C(=O)C(=C(C1=O)C/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C)\C)\C)\C)\C)\C)\C)C
ACTRVOBWPAIOHC-UHFFFAOYSA-N,['S[C@H]([C@@H](C(=O)O)S)C(=O)O'],[0.19867425],0.0,0.198674248,S[C@H]([C@@H](C(=O)O)S)C(=O)O
ADBOAGBBFIEYBZ-UHFFFAOYSA-N,['N/C(=N\\CCOCc1ccccc1)/CSS(=O)(=O)O'],[-1.84592496],0.0,-1.845924956,N/C(=N\CCOCc1ccccc1)/CSS(=O)(=O)O
ADIMAYPTOBDMTL-UHFFFAOYSA-N,"['O=C1Nc2ccc(cc2C(=NC1O)c1ccccc1)Cl'
 'O=C1Nc2ccc(cc2C(=N[C@@H]1O)c1ccccc1)Cl']",[-4.15642042 -3.95      ],5.09,-4.0532102094999996,O=C1Nc2ccc(cc2C(=NC1O)c1ccccc1)Cl
ADLZRPUDXVXGRQ-UHFFFAOYSA-N,['CN(c1c(C)n(C2CCCC2)c(=O)n(c1=O)C)C'],[-2.65050802],0.0,-2.650508016,CN(c1c(C)n(C2CCCC2)c(=O)n(c1=O)C)C
ADNAPRCXSGMYRO-UHFFFAOYSA-N,['CCC(C#C)(OC)C'],[-1.42047486],0.0,-1.420474864,CCC(C#C)(OC)C
ADQDRPUFTMYUAP-UHFFFAOYSA-N,['COc1ccc(cc1)C(=O)OCCCN1CCCCC1C'],[-3.62751938],0.0,-3.627519382,COc1ccc(cc1)C(=O)OCCCN1CCCCC1C
ADRPZEYTIFWCBC-UHFFFAOYSA-N,['FCC(=O)N(c1cccc2c1cccc2)C'],[-2.80931589],0.0,-2.809315891,FCC(=O)N(c1cccc2c1cccc2)C
ADTDBAKUQAKBGZ-UHFFFAOYSA-N,['O=C1C[C@@H]2OCC=C3[C@H]4[C@@H]2[C@@H]2N1c1ccccc1[C@]12CC[N+]([C@H]1C4)(C3)[O-]'],[-1.27507346],0.0,-1.275073462,O=C1C[C@@H]2OCC=C3[C@H]4[C@@H]2[C@@H]2N1c1ccccc1[C@]12CC[N+]([C@H]1C4)(C3)[O-]
ADTVPFMABWHJLN-UHFFFAOYSA-N,['Cc1n(C)c(=O)n(c(=O)c1Br)c1ccccc1'],[-1.93854325],0.0,-1.938543255,Cc1n(C)c(=O)n(c(=O)c1Br)c1ccccc1
ADVGKWPZRIDURE-UHFFFAOYSA-N,['CC(=O)Nc1ccccc1O'],[-2.24],0.0,-2.24,CC(=O)Nc1ccccc1O
AEKVBBNGWBBYLL-UHFFFAOYSA-N,['N#Cc1ccc(cc1)F'],[-1.81019308],0.0,-1.810193076,N#Cc1ccc(cc1)F
AELCINSCMGFISI-UHFFFAOYSA-N,['N[C@@H]1C[C@H]1c1ccccc1'],[-0.43784839],0.0,-0.437848392,N[C@@H]1C[C@H]1c1ccccc1
AEMFNILZOJDQLW-UHFFFAOYSA-N,['O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C)C'],[-3.6900001],0.0,-3.6900001,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C)C
AEOCXXJPGCBFJA-UHFFFAOYSA-N,['CCc1nccc(c1)C(=S)N'],[-1.72367282],0.0,-1.723672819,CCc1nccc(c1)C(=S)N
AETKQQBRKSELEL-UHFFFAOYSA-N,['O=C(c1ccccc1O)/C=C/c1ccccc1'],[-3.63391216],0.0,-3.633912158,O=C(c1ccccc1O)/C=C/c1ccccc1
AEUTYOVWOVBAKS-UHFFFAOYSA-N,['CC[C@H](NCCN[C@H](CO)CC)CO'],[0.68970187],0.0,0.689701874,CC[C@H](NCCN[C@H](CO)CC)CO
AEVSLBGUEKOQEE-UHFFFAOYSA-N,['ON=C(C1CC1)C1CC1'],[-2.5020075],0.0,-2.5020075,ON=C(C1CC1)C1CC1
AEXMKKGTQYQZCS-UHFFFAOYSA-N,['CCC(CC)(C)C'],[-4.23],0.0,-4.23,CCC(CC)(C)C
AEYOOYGXUSCILK-UHFFFAOYSA-N,['OC(CNCCSP(=O)(O)O)CNCCSP(=O)(O)O'],[0.4314322],0.0,0.431432203,OC(CNCCSP(=O)(O)O)CNCCSP(=O)(O)O
AFABGHUZZDYHJO-UHFFFAOYSA-N,['CCCC(C)C'],[-3.74],0.0,-3.74,CCCC(C)C
AFBBKYQYNPNMAT-UHFFFAOYSA-N,['S=c1nc[nH][nH]1'],[0.11898452],0.0,0.118984517,S=c1nc[nH][nH]1
AFBPFSWMIHJQDM-UHFFFAOYSA-N,['CNc1ccccc1'],[-1.28],0.0,-1.28,CNc1ccccc1
AFDXODALSZRGIH-UHFFFAOYSA-N,['COc1ccc(cc1)/C=C/C(=O)O'],[-2.39839602],0.0,-2.398396022,COc1ccc(cc1)/C=C/C(=O)O
AFEAUYYSRPFHIA-UHFFFAOYSA-N,['CCN(CCCC(Nc1c(C)cnc2c1ccc(c2)Cl)C)CC'],[-4.93478988],0.0,-4.934789883,CCN(CCCC(Nc1c(C)cnc2c1ccc(c2)Cl)C)CC
AFFLGGQVNFXPEV-UHFFFAOYSA-N,['CCCCCCCCC=C'],[-5.5100002],0.0,-5.5100002,CCCCCCCCC=C
AFGFYWOVFUGCLA-UHFFFAOYSA-N,['CCC(C(=O)OCC(Cl)(Cl)Cl)CC'],[-4.51685039],0.0,-4.516850393,CCC(C(=O)OCC(Cl)(Cl)Cl)CC
AFGWGIRVJYUUMY-UHFFFAOYSA-N,['CCNc1nc(OCC)nc(n1)C'],[-2.91425978],0.0,-2.914259775,CCNc1nc(OCC)nc(n1)C
AFIXAFUSSQHYKM-UHFFFAOYSA-N,['CCC(=O)N1CC2CCC(C1)N2C(=O)CC'],[-2.38704919],0.0,-2.387049191,CCC(=O)N1CC2CCC(C1)N2C(=O)CC
AFLXUQUGROGEFA-UHFFFAOYSA-N,['ClCC[N+](CCCl)(C)[O-]'],[-1.59417804],0.0,-1.594178042,ClCC[N+](CCCl)(C)[O-]
AFMPMSCZPVNPEM-UHFFFAOYSA-N,['N#Cc1ccccc1Br'],[-2.86936058],0.0,-2.869360581,N#Cc1ccccc1Br
AFOGBLYPWJJVAL-UHFFFAOYSA-N,['CCCCNC(=O)NS(=O)(=O)c1ccccc1'],[-3.05],0.0,-3.05,CCCCNC(=O)NS(=O)(=O)c1ccccc1
AFOSIXZFDONLBT-UHFFFAOYSA-N,['C=CS(=O)(=O)C=C'],[0.27431033],0.0,0.274310329,C=CS(=O)(=O)C=C
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,['OC(=O)c1cccc(c1)[N+](=O)[O-]'],[-1.6799999],0.0,-1.6799999,OC(=O)c1cccc(c1)[N+](=O)[O-]
AFPRJLBZLPBTPZ-UHFFFAOYSA-N,['O=C1C(=O)c2c3c1cccc3ccc2'],[-3.30557835],0.0,-3.305578352,O=C1C(=O)c2c3c1cccc3ccc2
AFQKQSFAMSDDFK-UHFFFAOYSA-N,['OCCOc1c(cc(cc1c1ccccc1)Br)C(=O)NCCO'],[-4.0201489],0.0,-4.020148903,OCCOc1c(cc(cc1c1ccccc1)Br)C(=O)NCCO
AFQYFVWMIRMBAE-UHFFFAOYSA-N,['NC(=O)OCC(C)(C)C'],[-0.80000001],0.0,-0.80000001,NC(=O)OCC(C)(C)C
AFRFYMZFIJPPDD-UHFFFAOYSA-N,['OCCN(C(=O)CO)CCO'],[0.7873517],0.0,0.787351702,OCCN(C(=O)CO)CCO
AFUKNJHPZAVHGQ-UHFFFAOYSA-N,['COc1ccc(c(c1)C=O)OC'],[-2.32020115],0.0,-2.320201146,COc1ccc(c(c1)C=O)OC
AFWKBSMFXWNGRE-UHFFFAOYSA-N,['COc1cc(/C=C/C(=O)C)ccc1O'],[-1.78409793],0.0,-1.784097934,COc1cc(/C=C/C(=O)C)ccc1O
AFYCEAFSNDLKSX-UHFFFAOYSA-N,['CCN(c1ccc2c(c1)oc(=O)cc2C)CC'],[-3.63743904],0.0,-3.637439036,CCN(c1ccc2c(c1)oc(=O)cc2C)CC
AFYNWNWCDBFAJL-UHFFFAOYSA-N,['Nc1cc2nc3cc(N)c(cc3c(c2cc1C)c1ccccc1)C'],[-6.30577282],0.0,-6.305772823,Nc1cc2nc3cc(N)c(cc3c(c2cc1C)c1ccccc1)C
AGHANLSBXUWXTB-UHFFFAOYSA-N,['OC(=O)COc1ccc(c(c1Cl)Cl)C(=O)c1cccs1'],[-4.28552451],0.0,-4.285524512,OC(=O)COc1ccc(c(c1Cl)Cl)C(=O)c1cccs1
AGJUUQSLGVCRQA-UHFFFAOYSA-N,['CCCCC[C@H]([C@@H]1[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)[C@@H](O)[C@H](O)/C(=C/C=C/C=C/C=C/C=C/[C@@H]([C@H](OC1=O)C)O)/C)O'],[-2.58631741],0.0,-2.586317413,CCCCC[C@H]([C@@H]1[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)[C@@H](O)[C@H](O)/C(=C/C=C/C=C/C=C/C=C/[C@@H]([C@H](OC1=O)C)O)/C)O
AGLXDWOTVQZHIQ-UHFFFAOYSA-N,['O=c1[nH]c2c(o1)cc(c(c2)Cl)O'],[-1.2040334],0.0,-1.204033396,O=c1[nH]c2c(o1)cc(c(c2)Cl)O
AGMMTXLNIQSRCG-UHFFFAOYSA-N,"['CC[C@H]1NC(=O)c2c(N1)cc(c(c2)S(=O)(=O)N)Cl'
 'CCC1NC(=O)c2c(N1)cc(c(c2)S(=O)(=O)N)Cl']",[-3.29       -3.28590822],0.12,-3.287954109,CC[C@H]1NC(=O)c2c(N1)cc(c(c2)S(=O)(=O)N)Cl
AGNGYMCLFWQVGX-UHFFFAOYSA-N,['[O-]/C(=C\\[N+]#N)/OC[C@@H](C(=O)O)N'],[-0.8264111],0.0,-0.826411099,[O-]/C(=C\[N+]#N)/OC[C@@H](C(=O)O)N
AGOYDEPGAOXOCK-UHFFFAOYSA-N,['CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@H]([C@@H](O2)C)O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C[C@H](C(=O)[C@@H]([C@H]([C@]1(C)O)O)C)C)(C)OC'],[-6.33985458],0.0,-6.339854584,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@H]([C@@H](O2)C)O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C[C@H](C(=O)[C@@H]([C@H]([C@]1(C)O)O)C)C)(C)OC
AGSLHFQPWVSWHT-UHFFFAOYSA-N,['Brc1cc(Br)cc2c1oc(=O)[nH]2'],[-3.6639664],0.0,-3.663966404,Brc1cc(Br)cc2c1oc(=O)[nH]2
AGWWTUWTOBEQFE-UHFFFAOYSA-N,['Cn1cn[nH]c1=S'],[-1.64965932],0.0,-1.649659322,Cn1cn[nH]c1=S
AHBRRAXTNYHHPH-UHFFFAOYSA-N,['OCC(COc1cccc2c1CCCC2)O'],[-3.23296485],0.0,-3.232964851,OCC(COc1cccc2c1CCCC2)O
AHDSRXYHVZECER-UHFFFAOYSA-N,['CN(Cc1cc(CN(C)C)c(c(c1)CN(C)C)O)C'],[-0.20905871],0.0,-0.209058707,CN(Cc1cc(CN(C)C)c(c(c1)CN(C)C)O)C
AHGTVVKFAJFTJE-UHFFFAOYSA-N,['CN(/N=C\\C(=O)c1ccc(cc1)Oc1ccccc1)C'],[-3.55300665],0.0,-3.55300665,CN(/N=C\C(=O)c1ccc(cc1)Oc1ccccc1)C
AHHFEZNOXOZZQA-UHFFFAOYSA-N,['ClCCN(C(=O)NC[C@H]1O[C@H](OC)[C@@H]([C@H]([C@@H]1O)O)O)N=O'],[-1.56125777],0.0,-1.561257773,ClCCN(C(=O)NC[C@H]1O[C@H](OC)[C@@H]([C@H]([C@@H]1O)O)O)N=O
AHJKRLASYNVKDZ-UHFFFAOYSA-N,['ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)Cl'],[-7.1999998],0.0,-7.1999998,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)Cl
AHPNNQWLCKYVLJ-UHFFFAOYSA-N,['CCN(CC(=O)N1C(C)(C)CC(CC1(C)C)c1ccccc1)CC'],[-5.36082998],0.0,-5.360829983,CCN(CC(=O)N1C(C)(C)CC(CC1(C)C)c1ccccc1)CC
AHRWWYGWQKBKBF-UHFFFAOYSA-N,['O=C1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C(=O)C[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C'],[-3.41875885],0.0,-3.418758854,O=C1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C(=O)C[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C
AHVZWIOHDYMAPH-UHFFFAOYSA-N,['O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ncccc1C(=O)O'],[-4.06029129],0.0,-4.060291286,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ncccc1C(=O)O
AIGRXSNSLVJMEA-UHFFFAOYSA-N,['CCOP(=S)(c1ccccc1)Oc1ccc(cc1)[N+](=O)[O-]'],[-5.01684936],0.0,-5.016849359,CCOP(=S)(c1ccccc1)Oc1ccc(cc1)[N+](=O)[O-]
AIIGKPCMCFGSPV-UHFFFAOYSA-N,['O=C(c1cc(Cl)nc(c1)Cl)N1CCOCC1'],[-1.48231173],0.0,-1.482311731,O=C(c1cc(Cl)nc(c1)Cl)N1CCOCC1
AIKKULXCBHRFOS-UHFFFAOYSA-N,['COP(=S)(SCC(=O)N(C=O)C)OC'],[-2.],0.0,-2.0,COP(=S)(SCC(=O)N(C=O)C)OC
AIUHRQHVWSUTGJ-UHFFFAOYSA-N,['CC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2'],[-4.6999998],0.0,-4.6999998,CC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2
AIURIRUDHVDRFQ-UHFFFAOYSA-N,['Clc1ccccc1c1cc(Cl)c(c(c1Cl)Cl)Cl'],[-7.21],0.0,-7.21,Clc1ccccc1c1cc(Cl)c(c(c1Cl)Cl)Cl
AJDIZQLSFPQPEY-UHFFFAOYSA-N,['FC(C(Cl)(F)F)(Cl)Cl'],[-3.04],0.0,-3.04,FC(C(Cl)(F)F)(Cl)Cl
AJLFOPYRIVGYMJ-UHFFFAOYSA-N,['CC[C@@H](C(=O)O[C@H]1CCC=C2[C@H]1[C@@H](CC[C@@H]1C[C@@H](O)CC(=O)O1)[C@H](C=C2)C)C'],[-4.91031156],0.0,-4.910311564,CC[C@@H](C(=O)O[C@H]1CCC=C2[C@H]1[C@@H](CC[C@@H]1C[C@@H](O)CC(=O)O1)[C@H](C=C2)C)C
AJOQSQHYDOFIOX-UHFFFAOYSA-N,['CCC(c1ccccc1)C(=O)NC(=O)N'],[-2.76147198],0.0,-2.761471979,CCC(c1ccccc1)C(=O)NC(=O)N
AJQMCEMSWCGRRN-UHFFFAOYSA-N,['ClCCN(C(=O)N[C@H](C(=O)O)CCC(=O)O)N=O'],[-1.7668414],0.0,-1.766841403,ClCCN(C(=O)N[C@H](C(=O)O)CCC(=O)O)N=O
AJSCNQJAGCMGAK-UHFFFAOYSA-N,['CCCOc1ccc(cc1OCC)C=CC(=O)NO'],[-3.14045074],0.0,-3.140450738,CCCOc1ccc(cc1OCC)C=CC(=O)NO
AJSKOLZKIUMPPG-UHFFFAOYSA-N,['NC(=O)C(=O)N/N=C/c1ccc(o1)[N+](=O)[O-]'],[-1.60736956],0.0,-1.607369555,NC(=O)C(=O)N/N=C/c1ccc(o1)[N+](=O)[O-]
AJXPJJZHWIXJCJ-UHFFFAOYSA-N,['CN1C(=O)CC(C1=O)(C)c1ccccc1'],[-1.59284396],0.0,-1.592843965,CN1C(=O)CC(C1=O)(C)c1ccccc1
AKBNYULNQSFESQ-UHFFFAOYSA-N,['CCC1(CC)C(=O)NC(=O)N(C1=O)C(C)C'],[-2.86679337],0.0,-2.866793373,CCC1(CC)C(=O)NC(=O)N(C1=O)C(C)C
AKCRQHGQIJBRMN-UHFFFAOYSA-N,['Nc1ccccc1Cl'],[-1.52],0.0,-1.52,Nc1ccccc1Cl
AKEUNCKRJATALU-UHFFFAOYSA-N,['OC(=O)c1c(O)cccc1O'],[-1.20740393],0.0,-1.207403926,OC(=O)c1c(O)cccc1O
AKFGKNDBVKJPBX-UHFFFAOYSA-N,['N/C(=N\\C1CC2C(C1(C)CC2)(C)C)/CSS(=O)(=O)O'],[-3.61244244],0.0,-3.612442439,N/C(=N\C1CC2C(C1(C)CC2)(C)C)/CSS(=O)(=O)O
AKGGYBADQZYZPD-UHFFFAOYSA-N,['CC(=O)CCc1ccccc1'],[-1.65764526],0.0,-1.657645256,CC(=O)CCc1ccccc1
AKGOVJIZHPVYEH-UHFFFAOYSA-N,['NCCCSP(=O)(O)O'],[0.76662056],0.0,0.766620559,NCCCSP(=O)(O)O
AKHALQJNHJAYRL-UHFFFAOYSA-N,['OCCOc1ccccc1C(=O)N'],[0.06614586],0.0,0.066145857,OCCOc1ccccc1C(=O)N
AKHXXQAIVSMYIS-UHFFFAOYSA-N,['CCCCCC1Nc2cc(c(cc2S(=O)(=O)N1)S(=O)(=O)N)C(F)(F)F'],[-5.44886973],0.0,-5.448869728,CCCCCC1Nc2cc(c(cc2S(=O)(=O)N1)S(=O)(=O)N)C(F)(F)F
AKNNEGZIBPJZJG-UHFFFAOYSA-N,['COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@@H]1N(C)CCc2c1c(OC)c1c(c2)OCO1'],[-3.1400001],0.0,-3.1400001,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@@H]1N(C)CCc2c1c(OC)c1c(c2)OCO1
AKPLHCDWDRPJGD-UHFFFAOYSA-N,['O=C1CN=C(c2c(N1)ccc(c2)Cl)c1ccccc1'],[-3.6770202],0.0,-3.677020196,O=C1CN=C(c2c(N1)ccc(c2)Cl)c1ccccc1
AKRGPMZFCFDFQW-UHFFFAOYSA-N,['O[C@@H]1CCN2C1=Nc1ccccc1[C@H]2O'],[-2.0699999],0.0,-2.0699999,O[C@@H]1CCN2C1=Nc1ccccc1[C@H]2O
AKTGKEBIBGSCLD-UHFFFAOYSA-N,['CCP(=O)(c1ccccc1)c1ccccc1'],[-2.90582793],0.0,-2.905827928,CCP(=O)(c1ccccc1)c1ccccc1
AKUJBENLRBOFTD-UHFFFAOYSA-N,['CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@@H]2[C@]1(C)C[C@@H](O)[C@]1([C@H]2CCC2=CC(=O)C=C[C@]12C)F'],[-4.9000001],0.0,-4.9000001,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@@H]2[C@]1(C)C[C@@H](O)[C@]1([C@H]2CCC2=CC(=O)C=C[C@]12C)F
AKVBCGQVQXPRLD-UHFFFAOYSA-N,['CCCCCCC(C(=O)O)N'],[-1.54746061],0.0,-1.547460613,CCCCCCC(C(=O)O)N
ALARQZQTBTVLJV-UHFFFAOYSA-N,['CCC1(C(=O)NC(=O)N(C1=O)C)c1ccccc1'],[-2.56819116],0.0,-2.568191161,CCC1(C(=O)NC(=O)N(C1=O)C)c1ccccc1
ALBSWLMUHHZLLR-UHFFFAOYSA-N,['[O-][N+](=O)CC(=O)OC'],[-0.89113281],0.0,-0.891132807,[O-][N+](=O)CC(=O)OC
