InchiKey,smiles,new_logBB,new_BBclass,canon_smiles
AKGNEJHNADLZKW-UHFFFAOYSA-N,CC13C=CC(=O)C1C(=O)CCC4C2CCC(O)(C(=O)CO)C2(C)CC(O)C34,,1,CC12C=CC(=O)C1C(=O)CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
AKNNEGZIBPJZJG-UHFFFAOYSA-N,COc2ccc1C(OC(=O)c1c2OC)C4N(C)CCc5cc3OCOc3c(OC)c45,,1,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C
AKPLHCDWDRPJGD-UHFFFAOYSA-N,c1c(Cl)ccc(c12)NC(=O)CN=C2c3ccccc3,0.523749998,1,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1
AKUJBENLRBOFTD-UHFFFAOYSA-N,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O,,1,CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
ALARQZQTBTVLJV-UHFFFAOYSA-N,CCC1(C(=O)NC(=O)N(C)C1=O)c1ccccc1,,1,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O
ALELTFCQZDXAMQ-UHFFFAOYSA-N,CC(CC2c1ccccc1CCc3ccccc23)CN(C)C,,1,CC(CC1c2ccccc2CCc2ccccc21)CN(C)C
ALEXXDVDDISNDU-UHFFFAOYSA-N,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(O)CC34C,,1,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C
ALFGKMXHOUSVAD-UHFFFAOYSA-N,CCC(=O)C1(CCN(C)CC1)c2cccc(O)c2,,1,CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1
ALHZOZGEQMHCRV-UHFFFAOYSA-N,c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)NCN3c4ccc(Br)cc4,0.07,1,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccc(Br)cc1)c1ccc(F)cc1
ALHZOZGEQMHCRV-UHFFFAOYSA-O,O=C(CCC[NH+]1CCC2(CC1)C(=O)NCN2c1ccc(Br)cc1)c1ccc(F)cc1,0.07,1,O=C(CCC[NH+]1CCC2(CC1)C(=O)NCN2c1ccc(Br)cc1)c1ccc(F)cc1
ALOBUEHUHMBRLE-UHFFFAOYSA-N,CCCCCCCN(CC)CCC[C@](O)([H])C1=CC=C(C=C1)N[S](C)(=O)=O,,1,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
ALWKGYPQUAPLQC-UHFFFAOYSA-N,C[N+](C)(C)C1=CC=CC(=C1)OC(=O)N(C)C,,0,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
AMEWZCMTSIONOX-UHFFFAOYSA-N,C1CC(CCN1)CCc2cc(nc3ccccc23)c4ccccc4,,1,c1ccc(-c2cc(CCC3CCNCC3)c3ccccc3n2)cc1
AMJPIGOYWBNJLP-UHFFFAOYSA-N,CN(C)CCC1(C)OCCC2=C1Cc3ccccc23,,1,CN(C)CCC1(C)OCCC2=C1Cc1ccccc12
AMKVXSZCKVJAGH-UHFFFAOYSA-N,O=S(CCC1=CC(C(C2CCN(C)CC2)=CN3)=C3C=C1)(NC)=O,-0.46,1,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1
AMMYEZPDRKXESR-UHFFFAOYSA-N,CC(N)C(=O)OC(C(=O)NC2C1SCC(=C(N1C2=O)C(=O)OCc3oc(=O)oc3C)CSc4nnc(C)s4)c5ccccc5,,0,Cc1nnc(SCC2=C(C(=O)OCc3oc(=O)oc3C)N3C(=O)C(NC(=O)C(OC(=O)C(C)N)c4ccccc4)C3SC2)s1
AMOPFYYMAQCKEB-UHFFFAOYSA-N,NC=1CCN(C(=O)N=1)[C@@]2([H])C[S][C@]([H])(CO)O2,,1,NC1=NC(=O)N(C2CSC(CO)O2)CC1
AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,0.202141252,1,CCCCCO
ANGKOCUUWGHLCE-UHFFFAOYSA-N,C[N+]1(C)CC[C@@]([H])(C1)OC(=O)[C@@](O)(C=2C=CC=CC=2)[C@]3([H])CCCC3,,0,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1
ANJTVLIZGCUXLD-UHFFFAOYSA-N,C1C2CNCC1C3=CC=CC(=O)N3C2,-1.09,0,O=c1cccc2n1CC1CNCC2C1
ANPJDCDLXKNSPS-UHFFFAOYSA-N,CCC1(NCC(=O)NC1=O)c2ccccc2,,1,CCC1(c2ccccc2)NCC(=O)NC1=O
ANTSCNMPPGJYLG-UHFFFAOYSA-N,CNC2=Nc1ccc(Cl)cc1C(=N(=O)C2)c3ccccc3,,1,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
ANUCDXCTICZJRH-UHFFFAOYSA-N,CC1COC2(N1CC(=O)Nc3ccc(Cl)cc23)c4ccccc4Cl,,1,CC1COC2(c3ccccc3Cl)c3cc(Cl)ccc3NC(=O)CN12
AOJJSUZBOXZQNB-UHFFFAOYSA-N,COc4cccc5C(=O)c3c(O)c2CC(O)(CC(OC1CC(N)C(O)C(C)O1)c2c(O)c3C(=O)c45)C(=O)CO,-0.82999999,1,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1
AOJJSUZBOXZQNB-UHFFFAOYSA-O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC([NH3+])C(O)C(C)O1,-0.82999998,1,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC([NH3+])C(O)C(C)O1
APBVLLORZMAWKI-UHFFFAOYSA-N,NC(=O)C2c1ccccc1CCc3ccccc23,,1,NC(=O)C1c2ccccc2CCc2ccccc21
APGDTXUMTIZLCJ-UHFFFAOYSA-N,CC34CC(O)C1C(CCC2=CC(=O)C=CC12C)C3CCC4(O)C(=O)COC(=O)CCC(O)=O,,1,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)O
APKFDSVGJQXUKY-UHFFFAOYSA-N,C[C@H]1O[C@@H](O[C@@H]\2C[C@@H]3O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@@H](C)[C@H](C)[C@H](O)[C@@H](C)\C=C/C=C\C=C/C=C\C=C/C=C\C=C2)C[C@H](O)[C@H]3C(O)=O)[C@@H](O)[C@@H](N)[C@@H]1O,,0,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O
AQCHWTWZEMGIFD-UHFFFAOYSA-N,C/C1=C/C=C/C=C1/N3C(=O)C=2C=C(C([Cl])=CC=2N[C@@]3(C)[H])[S](N)(=O)=O,,1,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
AQFFJGJVFJCQQL-UHFFFAOYSA-N,O=C(NC1CCN(CC1)Cc3ccc2ccccc2c3)NC(=O)c4ccccc4,,1,O=C(NC(=O)c1ccccc1)NC1CCN(Cc2ccc3ccccc3c2)CC1
AQHHHDLHHXJYJD-UHFFFAOYSA-N,CC(C)NCC(O)COc1cccc(c12)cccc2,0.764999989,1,CC(C)NCC(O)COc1cccc2ccccc12
AQHHHDLHHXJYJD-UHFFFAOYSA-O,CC(C)[NH2+]CC(O)COc1cccc2ccccc12,1.11,1,CC(C)[NH2+]CC(O)COc1cccc2ccccc12
AQIXAKUUQRKLND-UHFFFAOYSA-N,CC1=C(CSCCN/C(NC)=N/C#N)N=CN1,-1.254999975,0,CNC(=NC#N)NCCSCc1nc[nH]c1C
AQMNNXSLDLIGII-UHFFFAOYSA-N,CSc3ccc2Sc1ccccc1N(CC(C)CN(C)C)c2c3,,1,CSc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2
AQYKQVZJARJBMR-UHFFFAOYSA-N,CC1=NC(N2CCN(CCO)CC2)=CC(NC3=NC=C(C(NC4=C(Cl)C=CC=C4Cl)=O)S3)=N1,-1.3,0,Cc1nc(Nc2ncc(C(=O)Nc3c(Cl)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
ARAIBEBZBOPLMB-UHFFFAOYSA-N,CC(=O)N[C@]1([H])[C@@]([H])(C=C(O[C@]1([H])[C@](O)([H])[C@@](O)([H])CO)C(O)=O)NC(=N)N,,0,CC(=O)NC1C(NC(=N)N)C=C(C(=O)O)OC1C(O)C(O)CO
ARGVHRJDSYAVMQ-UHFFFAOYSA-O,C(Cc1c(C)[n+](C)cs1)OC(C2=CC(c1c(cc(cc1N2)[Cl])[Cl])=O)=O,-0.78,1,Cc1c(CCOC(=O)c2cc(=O)c3c(Cl)cc(Cl)cc3[nH]2)sc[n+]1C
ARPLCFGLEYFDCN-UHFFFAOYSA-N,CC4CC3C2CC(F)C1=CC(=O)C=CC1(C)C2(Cl)C(O)CC3(C)C4C(=O)COC(C)=O,,1,CC(=O)OCC(=O)C1C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(Cl)C(O)CC21C
ARTQJVJUAAGJGI-UHFFFAOYSA-N,c1(CC(N2[C@H](CN(CC2)C(=O)C)C[N@]2CC[C@H](O)C2)=O)ccc([S@](=O)C)cc1,,0,CC(=O)N1CCN(C(=O)Cc2ccc(S(C)=O)cc2)C(CN2CCC(O)C2)C1
ARUGKOZUKWAXDS-UHFFFAOYSA-N,CCC#CC[C@@](C)([H])[C@](O)([H])C#C[C@]2([H])[C@@]1([H])C/C(=C\COCC(O)=O)C[C@]1([H])C[C@@]2(O)[H],,1,CCC#CCC(C)C(O)C#CC1C(O)CC2CC(=CCOCC(=O)O)CC21
ASKBPIDMAJTIHH-UHFFFAOYSA-N,O=C(N)Cc1ccc(OCC(NC(C)C)O)cc1,-1.42,0,CC(C)NC(O)COc1ccc(CC(N)=O)cc1
ASOJLQIBBYOFDE-UHFFFAOYSA-N,CCC(C(=O)NCC=CC=C(C)C(OC)C(C)C1OC(C=CC=CC=C(C)C(=O)C2=C(O)C=CN(C)C2=O)C(O)C1O)C1(O)OC(C=CC=CC)C(C)(C)C(OC2OC(C)C(OC3OC(C)C(OC)C(O)C3OC)C(OC)C2O)C1O,,0,CC=CC=CC1OC(O)(C(CC)C(=O)NCC=CC=C(C)C(OC)C(C)C2OC(C=CC=CC=C(C)C(=O)c3c(O)ccn(C)c3=O)C(O)C2O)C(O)C(OC2OC(C)C(OC3OC(C)C(OC)C(O)C3OC)C(OC)C2O)C1(C)C
ASUTZQLVASHGKV-UHFFFAOYSA-N,C1CN(C)Cc2ccc(OC)c(c2C134)OC3CC(O)C=C4,0.319999995,1,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2
ASUTZQLVASHGKV-UHFFFAOYSA-O,COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2,0.31999999,1,COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2
ASVQCPUSQNFHHU-UHFFFAOYSA-N,Cc1c(N2CCN(c3ncccn3)CC2)nnc(c4ccccc4)c1,0.18,1,Cc1cc(-c2ccccc2)nnc1N1CCN(c2ncccn2)CC1
ASWVTGNCAZCNNR-UHFFFAOYSA-N,C/C2=C/C(C)=NC(N[S](=O)(=O)C1=C/C=C(/N)C=C1)=N2,,1,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
ASXBYYWOLISCLQ-UHFFFAOYSA-N,CNC1C(O)C(O)C(CO)OC1OC2C(OC(C)C2(O)CO)OC3C(O)C(O)C(NC(N)=N)C(O)C3NC(N)=N,,0,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)CO)OC(CO)C(O)C1O
ATEBXHFBFRCZMA-UHFFFAOYSA-N,COC6C=COC5(C)Oc4c(C)c(O)c3C(=O)C(=C2NC1(CCN(CC1)CC(C)C)N=C2c3c4C5=O)NC(=O)C(=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C6C)C,,0,COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O
ATFPKCCWKBNASV-UHFFFAOYSA-N,CC1CCN(CC1)C(=O)c(c2)ccc3n(CC=C)c(c4c23)CCN(C4)CC5CC5,-0.13,1,C=CCn1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(CC1CC1)CC2
ATTHVGBIVYJECI-UHFFFAOYSA-N,c1(cc(c(cc1)Cl)Cl)CC(N1[C@@H](c2c(CC1)cccc2)CN1CCCC1)=O,,1,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2ccccc2C1CN1CCCC1
AUICMICNMSEVKA-UHFFFAOYSA-N,C[C@@]([H])(CCN(CC)CCO)NC=1C=CN=C2/C=C(/[Cl])C=CC=12,,1,CCN(CCO)CCC(C)Nc1ccnc2cc(Cl)ccc12
AUNGANRZJHBGPY-UHFFFAOYSA-N,C/C3=C/C=2N=C1C(=NC(=O)NC1=O)N(C[C@](O)([H])[C@@](O)([H])[C@@](O)([H])CO)C=2/C=C3/C,,1,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
AURFZBICLPNKBZ-UHFFFAOYSA-N,CC(=O)C3CCC4C2CCC1CC(O)CCC1(C)C2CCC34C,,1,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
AUVLGULYQNVLGA-UHFFFAOYSA-N,C/C1=C/N(C(=O)N=C1N)[C@@]2([H])C=C[C@]([H])(CO)O2,,1,Cc1cn(C2C=CC(CO)O2)c(=O)nc1N
AUVLZBKTWSCAIM-UHFFFAOYSA-N,CCCNC(=O)N1CC(OC1=O)c2ccccc2,,1,CCCNC(=O)N1CC(c2ccccc2)OC1=O
AUVVAXYIELKVAI-UHFFFAOYSA-N,CCC3CN2CCc1cc(OC)c(OC)cc1C2CC3CC4NCCc5cc(OC)c(OC)cc45,,0,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21
AUZMDLDJTGPIEA-UHFFFAOYSA-N,CNCCC=C2c1ccccc1C(C)(C)c3ccccc23,,1,CNCCC=C1c2ccccc2C(C)(C)c2ccccc21
AUZONCFQVSMFAP-UHFFFAOYSA-N,CCN(CC)C(=S)SSC(=S)N(CC)CC,,1,CCN(CC)C(=S)SSC(=S)N(CC)CC
AVKUERGKIZMTKX-UHFFFAOYSA-N,CC3(C)SC2C(NC(=O)C(N)c1ccccc1)C(=O)N2C3C(O)=O,,0,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
AVOLMBLBETYQHX-UHFFFAOYSA-N,CCC(=C)C(=O)c1ccc(OCC(O)=O)c(Cl)c1Cl,,0,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
AVWWVJUMXRXPNF-UHFFFAOYSA-N,C[N+](C)(C/C1=C/C=CC=C1)CCOC=2C=CC=CC=2,,0,C[N+](C)(CCOc1ccccc1)Cc1ccccc1
AWKLBIOQCIORSB-UHFFFAOYSA-N,CCN(CC)CCn1cnc2n(C)c(=O)n(C)c(=O)c12,,1,CCN(CC)CCn1cnc2c1c(=O)n(C)c(=O)n2C
AXIFLPLKZRNVDP-UHFFFAOYSA-N,c1cc(F)ccc1Cn(c(c23)cccc2)c(n3)[C@@H]4CCCN(C)C4,0.43,1,CN1CCCC(c2nc3ccccc3n2Cc2ccc(F)cc2)C1
AXJPNVUUDXTSOL-UHFFFAOYSA-N,OCCN4CCCN(CCCN2c1ccccc1C=Cc3ccccc23)CC4,,1,OCCN1CCCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1
AXKPFOAXAHJUAG-UHFFFAOYSA-N,NC(=O)C2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)N3CCCCC3,,1,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
AYDSLXXUAYWCBG-UHFFFAOYSA-N,C=CCC(N)c1c(cccc1)-c2noc(c23)cccc3,0,1,C=CCC(N)c1ccccc1-c1noc2ccccc12
AYDSLXXUAYWCBG-UHFFFAOYSA-O,C=CCC([NH3+])c1ccccc1-c1noc2ccccc12,0,1,C=CCC([NH3+])c1ccccc1-c1noc2ccccc12
AYDXAULLCROVIT-UHFFFAOYSA-N,CC[C@]([H])(C=1C=CC(=CC=1)N3CC=2C=CC=CC=2C3=O)C(O)=O,,1,CCC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
