InchiKey,smiles,logD,new_logD
ACYKZNPFZJYEDL-UHFFFAOYSA-N,C[C@H]1CN(C2COC2)[C@H](C)CN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1,[3.5],3.500000000000001
ACZJULCKNQAJHZ-UHFFFAOYSA-N,O=C(C1CC1)N1[C@@H]2CC[C@@H]1CN(c1nc(Nc3cnn(CCO)c3)ncc1F)C2,[1.78],1.7800000000000002
ADEBPBSSDYVVLD-UHFFFAOYSA-N,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,[2.41],2.4099999999999997
ADMTUTZDAMUJSX-UHFFFAOYSA-N,O[C@H]1C[C@H](CN2CC[C@H](c3ccc(F)cc3Cl)[C@@H](O)C2)CCc2cccnc21,[2.9],2.8999999999999995
ADOZDJQXPOGXEV-UHFFFAOYSA-N,CN(C)c1ccnc2sc3c(=O)n(-c4ccccc4)cnc3c12,[2.34],2.34
ADPRFNVFBYHCJQ-UHFFFAOYSA-N,N#CCc1c[nH]c2ccc(OCc3ccccc3)cc12,[3.71],3.71
ADQKWHMLZWYXPE-UHFFFAOYSA-N,CC(Nc1ccc(F)c(Cl)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,[2.4],2.3999999999999995
ADUIVTWDTGQPAI-UHFFFAOYSA-N,Cc1nn(C)cc1NC(=O)[C@@H]1CCCC[C@H]1C(=O)c1ccc(-c2ccc[nH]2)cc1,[3.1],3.1000000000000014
ADVCMQZATPXDMZ-UHFFFAOYSA-N,COc1ccc(-n2sc3ccccc3c2=O)cc1,[3.02],3.020000000000001
ADVHGQZABZVPCA-UHFFFAOYSA-N,CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)Cc2ccccc2C(=O)O)c1=O)C(=O)C(F)(F)F,[1.14],1.14
AEJOEPSMZCEYJN-UHFFFAOYSA-N,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1ccccc1,[3.38 3.42],3.4000000000000004
AEKZALMFASFTNO-UHFFFAOYSA-N,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@H](c2ccc(S(C)(=O)=O)cc2)c2cc(F)cc(Cl)c2)CC1,[2.71],2.710000000000001
AEMJGAHADFWBRW-UHFFFAOYSA-N,Cc1ncc(-c2ccnc(Nc3ccc(C(=O)N4CCN(C)CC4)cc3)n2)n1C(C)C,[2.1],2.1
AEMKVXCCHGLFJH-UHFFFAOYSA-N,COc1cc(-n2nnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1N1CC[C@@H](O)C1,[3.15],3.150000000000001
AENHXIGVBHNYQY-UHFFFAOYSA-N,CN(C)Cc1ccn2c(-c3ccnc(N)n3)c(-c3ccc(F)cc3)nc2n1,[2.1],2.1
AEOCXXJPGCBFJA-UHFFFAOYSA-N,CCc1cc(C(N)=S)ccn1,[1.52],1.5200000000000002
AEPGROUWXONGID-UHFFFAOYSA-N,CC(C)c1ccn2ncnc(N[C@H]3CC[C@H](N4CCOCC4)CC3)c12,[2.8],2.8000000000000007
AEQYZGAQFDSQIR-UHFFFAOYSA-N,CN(CCCOCCOCCc1ccccc1)CCc1ccc(O)c2nc(O)sc12,[2.44],2.44
AEUTYOVWOVBAKS-UHFFFAOYSA-N,CCC(CO)NCCNC(CC)CO,[-1.42],-1.42
AEWQIKDEAWAPPV-UHFFFAOYSA-N,O=C(O)COc1cccc(C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,[1.09],1.09
AEXFXNFMSAAELR-UHFFFAOYSA-N,Cn1c(=O)oc2ccc(-c3ccc(C[C@@H](C#N)NC(=O)[C@@H]4CNCCCO4)cc3)cc21,[0.8],0.7999999999999999
AEYRDESTWAYZTA-UHFFFAOYSA-N,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3ccc[n+]([O-])c32)CC1,[2.8],2.8000000000000007
AFCJQVSLDHWRJB-UHFFFAOYSA-N,COCC(=O)N1CCC(n2cc(-c3cnc(N)c(-c4nc5ccccc5o4)c3)cn2)CC1,[3.4],3.3999999999999995
AFEDHDLLXVXFNK-UHFFFAOYSA-N,COc1cc(N2CCN(C(N)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,[3.3],3.2999999999999994
AFEOUEVRAOUNCG-UHFFFAOYSA-N,O=c1[nH]n(Cc2ccsc2)c(=O)c2c(=O)c3ccc(Cl)cc3[nH]c12,[1.11],1.1099999999999999
AFEZLCYYYAHZRZ-UHFFFAOYSA-N,C[C@@H](NC(=O)C1CCNCC1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,[0.4],0.39999999999999997
AFHZNYOZSHABDK-UHFFFAOYSA-N,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)C[C@@H](C)N1C(=O)Cc1ccccc1,[0.7],0.7000000000000002
AFJBIEFMCXULHJ-UHFFFAOYSA-N,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,[2.9],2.8999999999999995
AFJRDFWMXUECEW-UHFFFAOYSA-N,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl,[2.99],2.99
AFLCJXMOBVSHJB-UHFFFAOYSA-N,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)cc2F)CC1,[2.66],2.6599999999999997
AFNJCMOFGZACSP-UHFFFAOYSA-N,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)NC1CCN(c3ccc(C(F)(F)F)cn3)CC1)C(=O)C2,[3.84],3.8399999999999994
AFNWNAQLFRUEHP-UHFFFAOYSA-N,COc1ccc(-c2ccc3[nH]nc(C(=O)N[C@H](CO)c4ccccc4)c3c2)cc1,[4.],4.0
AFRSJPKOQUIUFL-UHFFFAOYSA-N,COc1cc(O)c2c(c1Br)C(=O)OCC(=O)NCC(=O)N[C@H](c1nc(C)no1)CSC2,[1.4],1.4000000000000004
AFVBZUWBUBBTKS-UHFFFAOYSA-N,c1ccc(CCc2nnn[nH]2)cc1,[-0.25],-0.25
AGBPAAIJQBXSJG-UHFFFAOYSA-N,CC1(C)CNC(=O)c2sc(N3CCOCC3)nc2C1,[1.29],1.2899999999999996
AGHANLSBXUWXTB-UHFFFAOYSA-N,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,[-0.84],-0.8400000000000001
AGHXCKLYYIUDCG-UHFFFAOYSA-N,Cc1cn(-c2ccc3n(c2=O)CCN(Cc2cccc4ccc(C(F)(F)F)cc24)C3=O)cn1,[3.3],3.2999999999999994
AGSMKBYNAKIVTB-UHFFFAOYSA-N,O=C1CCCc2cnccc21,[1.],1.0
AHFDWKXLJCGQHE-UHFFFAOYSA-N,Cc1cccc(Nc2ncnc3ccccc23)c1,[3.21],3.21
AHFWNEDKDLPNEU-UHFFFAOYSA-N,CO[C@H]1CN(c2nc(-c3cncnc3)c(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,[0.35],0.3500000000000001
AHJRHEGDXFFMBM-UHFFFAOYSA-N,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,[0.8],0.7999999999999999
AHLHZSCENKUUSF-UHFFFAOYSA-N,COc1ccccc1-c1coc2cc(O)ccc2c1=O,[2.55],2.5500000000000003
AHOSVWQBRHCKAW-UHFFFAOYSA-N,COCC(=O)N1CCC(n2nc(C)c(Nc3ncc(Cl)c(-c4cnn5ccccc45)n3)c2C)CC1,[2.8],2.8000000000000007
AHOUBRCZNHFOSL-UHFFFAOYSA-N,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,[1.78],1.7800000000000002
AHOUVZDSUCJSFA-UHFFFAOYSA-N,CNc1c2ccc([125I])cc2nc2ccc(OC)cc12,[2.14],2.140000000000001
AHPDAELLEBXGHK-UHFFFAOYSA-N,CS(=O)(=O)C1(c2cc(N3CCOCC3)nc(-c3ccnc4[nH]ccc34)n2)CC1,[2.2],2.1999999999999997
AHPIVIUDORXVPM-UHFFFAOYSA-N,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(NCCN(C)C)nc5)cc4c32)C1,[1.7],1.6999999999999997
AHTSJPMFFNYOLP-UHFFFAOYSA-N,CCn1cc(CN2CCn3c(ccc(-n4cnc(C)c4)c3=O)C2=O)c2cccc(C(F)(F)F)c21,[4.3],4.3
AHTURLVFIJHCLS-UHFFFAOYSA-N,Cc1ccc(C(NC(=O)c2ccccc2O)C(=O)Nc2c(C)cccc2C)s1,[4.05],4.05
AHZBXSSTBLMSKB-UHFFFAOYSA-N,CCOC(=O)N1CCC2(CC1)OC21c2ccc(Cl)cc2CCc2cccnc21,[2.9],2.8999999999999995
AINIYOCWHWRKCA-UHFFFAOYSA-N,Cc1ccnc(-n2cc(CN3CCC4(CC3)OCc3ccccc34)c(C)n2)c1,[3.2],3.1999999999999997
AISRHAIYKNFXIL-UHFFFAOYSA-N,COc1cc(N(CC2CC2)c2cccc(C(F)(F)F)c2)cnc1C(=O)[C@H]1C[C@@H]1C(=O)O,[1.4],1.4000000000000004
AITVFSBTANYJCU-UHFFFAOYSA-N,Nc1c(Cl)cc(C(=O)OCC2CCN(CCC[18F])CC2)c2c1OCCO2,[1.4],1.4000000000000004
AIXYWFIHNYBJKB-UHFFFAOYSA-N,Cc1nn(C)c(Oc2ccccc2F)c1C(=O)N1CCCCC1c1cccnc1,[2.5],2.4999999999999996
AIYGFUWNGMGUCQ-UHFFFAOYSA-N,O=c1nc(NCc2ccccc2)sn1Cc1ccccc1,[3.01],3.01
AJEIZQFXOOTMAN-UHFFFAOYSA-N,CCCc1c(OCc2ccc(C(=O)O)cc2)ccc(C(C)=O)c1O,[2.1],2.1
AJGOXHBGWDCFOT-UHFFFAOYSA-N,COc1cncc(-c2cccc(-c3cn4ccc(OC)c(C(N)=O)c4n3)c2)c1,[2.3],2.3
AJIWUDBHBFFZCY-UHFFFAOYSA-N,Cn1cnc(-c2ccccc2)c1C#Cc1ccnc(N)n1,[2.94],2.9400000000000013
AJOOJNSIVXELDW-UHFFFAOYSA-N,CCN(CC)S(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1,[0.67],0.67
AJSIYBPKKUNKIS-UHFFFAOYSA-N,COCC(COC)n1cc(Cl)nc(Nc2c(Cl)cc(OCCF)cc2Cl)c1=O,[3.1],3.1000000000000014
AJUWTQZJBKWQNV-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(C(=O)NC[C@@H](O)CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)s1,[2.86],2.860000000000001
AKGAYMDCLUSCDA-UHFFFAOYSA-N,C[C@H](Cc1cccc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c1)NC[C@H](O)c1ccc(O)c(CO)c1,[2.4],2.3999999999999995
AKGCSSSQGMHLQE-UHFFFAOYSA-N,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1cccc(Cl)c1,[0.78],0.78
AKHFFJWFGLOXKJ-UHFFFAOYSA-N,N#Cc1cnc2c(ccn2-c2ccc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)c(Cl)c2)c1,[1.6],1.5999999999999999
AKNZQIHVIIADQF-UHFFFAOYSA-N,Cc1cccc(OCC(=O)Nc2ccc(OCC(=O)O)c(F)c2)c1,[-0.99],-0.99
AKOYDZUCVDUCOH-UHFFFAOYSA-N,Cc1cc(NC(=O)Nc2ccc(Cl)cc2)n(-c2ccccc2)n1,[4.15],4.150000000000001
AKQUYKYHJPCGHJ-UHFFFAOYSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC1=O,[2.63 2.39],2.5100000000000007
AKRSGQPSZWNVSP-UHFFFAOYSA-N,CC(=O)NC[C@H]1CN(c2ccc(N3Cc4ccncc4C3)c(F)c2)C(=O)O1,[3.02],3.020000000000001
AKSNYNJHAYPMMV-UHFFFAOYSA-N,Cc1noc(C)c1NC(=O)[C@@H]1CCCC[C@H]1C(=O)c1ccc(-c2cc[nH]n2)cc1,[3.1],3.1000000000000014
ALEXXDVDDISNDU-UHFFFAOYSA-N,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,[2.21],2.2100000000000004
ALFGDCNSEBJYSP-UHFFFAOYSA-N,CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12,[0.48],0.4799999999999999
ALFIBOPSIAUNIQ-UHFFFAOYSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(C(F)(F)F)cc2)C1)C(C)(C)C,[2.85],2.8500000000000005
ALGHKWSXJUQNJJ-UHFFFAOYSA-N,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)c(O)c1,[0.77],0.77
ALHAGZVQGCJALR-UHFFFAOYSA-N,OC[C@H]1O[C@H](OCc2cn(-c3ccncc3)nn2)[C@@H](O)[C@@H](O)[C@@H]1O,[0.24],0.23999999999999996
ALIJNJWQOZKBPP-UHFFFAOYSA-N,O=C(O)C(=O)Nc1ccc(C#Cc2ccc(C(F)(F)F)cc2)cc1,[1.97],1.97
ALKHFUPBQSAGMS-UHFFFAOYSA-N,C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)OC[C@H]1F,[1.3 1.1],1.1999999999999997
ALLCDGFTBTXVRE-UHFFFAOYSA-N,Cc1c[nH]c2ncnc(N[C@H]3CC[C@H](N(C)C)CC3)c12,[0.1 0.1],0.09999999999999999
ALMACYDZFBMGOR-UHFFFAOYSA-N,COc1ccccc1Oc1ccc(N(Cc2cccnc2)S(=O)(=O)CC(F)(F)F)cc1,[1.5],1.4999999999999998
ALMZVCUSOYGRHT-UHFFFAOYSA-N,Cc1ccc(-c2c(C)c(CNC3CCCC3)nn2-c2ncc(Cl)cc2Cl)cn1,[2.5],2.4999999999999996
ALOBUEHUHMBRLE-UHFFFAOYSA-N,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,[1.2],1.1999999999999997
ALQSLGJWIKQNFA-UHFFFAOYSA-N,O=C1COc2ccc(CN[C@@H]3CCN(CCn4c(=O)ccc5ncc(F)cc54)C[C@@H]3F)nc2N1,[0.47 0.47],0.47
ALYOAWZYSZLYLO-UHFFFAOYSA-N,Cc1nc(C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2)cs1,[2.17],2.169999999999999
AMAYLDGCOUJAIW-UHFFFAOYSA-N,C=C1COC2(CN(c3ncc(C(=O)O)s3)CC[C@H]2NC(=O)c2[nH]c(C)c(Cl)c2Cl)OC1,[0.82],0.82
AMBNSCOYCMLIBF-UHFFFAOYSA-N,CN1CCN(C(=O)[C@@H]2CCCC[C@H]2C(=O)NCC#N)CC1,[-0.1],-0.09999999999999999
AMEQLQYPRVOFMB-UHFFFAOYSA-N,CNS(=O)(=O)c1ccc2c(C(=O)NC[C@@H](O)CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)c[nH]c(=O)c2c1,[2.77],2.77
AMGGGGVJXRPRNC-UHFFFAOYSA-N,O=S(=O)(c1ccccc1-c1ccc(CNC2CCOCC2)cc1)N1CCCC1,[1.4],1.4000000000000004
AMHDUOXZVAFCJB-UHFFFAOYSA-N,COCCC(Oc1ncnc2c1cnn2-c1ccccc1C(F)(F)F)C(=O)Nc1ccc(C)cn1,[3.5],3.500000000000001
AMHHRGZLTPMKNL-UHFFFAOYSA-N,C[C@@H]1CN(c2ncc(F)cn2)CCN1c1ncc(OCc2ccncc2C#N)cn1,[3.4 3.4],3.3999999999999995
AMKACOPNIVQTHQ-UHFFFAOYSA-N,N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)cc1,[1.28 1.28],1.2799999999999998
AMKVXSZCKVJAGH-UHFFFAOYSA-N,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,[0.48],0.4799999999999999
AMLQLZSHSQNJKQ-UHFFFAOYSA-N,CNC(=O)c1ccc(F)cc1[C@@H](C)Oc1nc(-c2cccnc2OC)cnc1N,[3.],2.9999999999999996
AMQLOAKAHIONBV-UHFFFAOYSA-N,CC(c1ccc2c(c1)CCN(C(=O)c1cc3cc(Cl)ncc3n1C)C2)N(C)C,[1.8],1.7999999999999996
AMWXFZPCZLTXQO-UHFFFAOYSA-N,O=C1CCC(O)=C1Cc1ccccc1,[-0.6],-0.5999999999999999
AMZPDASESZAAOP-UHFFFAOYSA-N,O=C(Nc1cccc(O)c1)c1ccc(OCCCN2CCCC2)cc1OCc1ccccn1,[1.78],1.7800000000000002
ANCQOSJSIUWCQF-UHFFFAOYSA-N,CNC(=O)OC[C@@H](C)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,[3.],2.9999999999999996
ANDINJSVEXTMCP-UHFFFAOYSA-N,COCCOc1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,[3.1],3.1000000000000014
ANDSXDKABIYGPB-UHFFFAOYSA-N,CCCS(=O)(=O)N1CCCC(C(=O)N2CCC(Cc3ccccc3)CC2)C1,[3.44],3.439999999999999
ANHNVGOEKUWHGJ-UHFFFAOYSA-N,Nc1ncc(-c2ccc(F)cc2)[nH]1,[1.39],1.39
ANJZSVYAZIFZKL-UHFFFAOYSA-N,CCSc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,[1.5],1.4999999999999998
ANNYTDWZCHPDFI-UHFFFAOYSA-N,CC(C)CC(Oc1ccc(-n2cc(C(F)(F)F)cn2)cc1)c1ccc(C(=O)NCCC(=O)O)cc1,[3.2],3.1999999999999997
ANPJTTUBCRFBKA-UHFFFAOYSA-N,N#C[C@H](Cc1ccc(-c2ccc3oc(=O)n(CC(F)F)c3c2)cc1)NC(=O)[C@@H]1CNCCCO1,[1.],1.0
ANPWZZNJYGIQMA-UHFFFAOYSA-N,CN1CC[C@@](O)(C#Cc2ccnc(-n3nc(C(N)=O)c4c3CCCC4)c2)C1=O,[1.9],1.9
ANRXIHXQFLKMRJ-UHFFFAOYSA-N,CNC(=O)c1cccc(O[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1,[1.93],1.9300000000000004
ANTOAOJYHLZPCF-UHFFFAOYSA-N,N#Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(OCF)cc1,[2.9],2.8999999999999995
ANTSCNMPPGJYLG-UHFFFAOYSA-N,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,[2.41],2.4099999999999997
ANUJCWSZZGCCLL-UHFFFAOYSA-N,OC[C@H]1O[C@H](Oc2ccc(N3CCc4ccccc43)cc2Cl)[C@@H](O)[C@@H](O)[C@@H]1O,[2.8],2.8000000000000007
ANWLGWSGGISQCD-UHFFFAOYSA-N,COc1cc(O)c2c(c1C)C(=O)OCC(=O)NCC(=S)N[C@H](c1nc(C)no1)CSC2,[2.32],2.32
ANXLTXNOZIKJSV-UHFFFAOYSA-N,CN(C)S(=O)(=O)NC(=O)CCCc1c(-c2ccc(F)cc2)[nH]c2ccc(C#N)cc12,[2.8],2.8000000000000007
AOAQKDDVWLOZFV-UHFFFAOYSA-N,Nc1nnc(CCSCCc2nnc(N)s2)s1,[-0.1],-0.09999999999999999
AOEDAVORSZWYLI-UHFFFAOYSA-N,FC(F)(F)c1nnc2ccc(-n3ccnc3)nn12,[0.91],0.91
AOOWUKRCTFDBNJ-UHFFFAOYSA-N,CN(C)Cc1ccc2c(c1)CCN(C(=O)c1cc3cc(-c4ccccc4)ncc3n1C)C2,[3.],2.9999999999999996
AOTFSQYHJUPBAD-UHFFFAOYSA-N,O=C(c1ccc(F)cc1)C1CCN(C(=O)NCc2ccccc2)CC1,[3.15],3.150000000000001
AOTGWRVCPVLSPA-UHFFFAOYSA-N,COc1ccc(Nc2ccccc2C(=O)O)cc1,[1.2],1.1999999999999997
AOTRIQLYUAFVSC-UHFFFAOYSA-N,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)cn1,[1.5],1.4999999999999998
AOUATNRHHSRWML-UHFFFAOYSA-N,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3c(F)cc(F)cn23)n1,[3.2],3.1999999999999997
AOXOTPFMIVMRQI-UHFFFAOYSA-N,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc4ncccc4s3)CC2)CC1,[1.4],1.4000000000000004
APBSKHYXXKHJFK-UHFFFAOYSA-N,O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1,[-0.22],-0.22
APLGQRPVXWWNAW-UHFFFAOYSA-N,COc1ccc(C)c(NC(=O)CC23CC4CC(CC(C4)C2)C3)c1,[3.96],3.96
APLSHXFBXOJEDP-UHFFFAOYSA-N,CC(=O)N1CCC(n2cc(Nc3ncc(Cl)c(-c4cnc5ccccn45)n3)c(C)n2)CC1,[2.8],2.8000000000000007
APLVPBUBDFWWAD-UHFFFAOYSA-N,Cc1cc(=O)[nH]c2ccccc12,[1.9],1.9
APNRWZGKYBVCLL-UHFFFAOYSA-N,CC(CF)N1CCc2nc(C(=O)Nc3cc(C(=O)O)ccc3CNC(=O)c3ccc(Cl)s3)sc2C1,[0.45],0.4499999999999999
APPWKMITVMBLGJ-UHFFFAOYSA-N,COc1cc(C2=NN(c3ccc(C#N)c(C)c3)[C@@H](C3CCCC3)C2)ccc1C(=O)O,[2.2],2.1999999999999997
APQCIRNWAACMSD-UHFFFAOYSA-N,CN(C)c1ccnc2sc(C(N)=O)c(N)c12,[1.7],1.6999999999999997
APQGKYMFIGMIAV-UHFFFAOYSA-N,Nc1cccc(C(=O)NCC23CC4CC(CC(C4)C2)C3)c1Cl,[3.29],3.29
APQGMQHBIOJWDO-UHFFFAOYSA-N,C1=CCC(c2ccc3ccccc3c2)CNC1,[1.64],1.64
APQRJPZYCYILCT-UHFFFAOYSA-N,COc1cc(N(CC2CC2)c2ccc(Cl)c3ccccc23)cnc1C(=O)CCCC(=O)O,[2.8],2.8000000000000007
APSUXPSYBJVPPS-UHFFFAOYSA-N,Oc1ccc2c3c1O[C@H]1c4[nH]c5c(c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C[C@@]1(O)[C@H]2Cc3ccc(O)c4c3[C@@]1(CCN2CC1CC1)[C@H]5O4,[1.41],1.4100000000000004
